序号,子系统,模块,工作项编号,工作项名称,技术要点/交付内容,类型,涉及接口,优先级,实施阶段,需求分析(人天),方案设计(人天),开发(人天),测试(人天),部署上线(人天),合计(人天),负责人,计划开始,计划结束,状态,备注
13,招采平台,P3系统基础功能,P3-01,电子签章功能引入,公示文件发布环节用户选择是否盖章（默认是）；对接电子签章平台实现电子用印；供应商投标文件电子章自动签章，防止盖章混乱或图片截图盖章,新增,电子签章,中,阶段二,3.0,10.0,14.0,10.0,1.0,38.0,,,,未开始,
14,招采平台,P3系统基础功能,P3-02,检索状态缓存机制,前端本地缓存筛选条件、搜索关键词、分页签状态；翻页/返回自动读取缓存；多页签独立数据链路，多窗口并行查询互不干扰,新增,无,高,阶段二,2.0,10.0,6.0,5.0,1.0,24.0,,,,未开始,
15,招采平台,P3系统基础功能,P3-03,文件批量处理与容量扩容,多文件批量并行上传；调整文件大小限制参数；扩宽互联网带宽适配大文件上传,优化,无,中,阶段二,1.0,5.0,4.0,5.0,1.0,16.0,,,,未开始,
16,招采平台,P3系统基础功能,P3-04,专家库功能优化,新增评委标签属性前台维护；多标签绑定配置；标签批量启用/停用/查询自动去重,优化,无,中,阶段二,1.0,3.0,5.0,3.0,1.0,13.0,,,,未开始,
17,招采平台,P3系统基础功能,P3-05,数据导出能力优化,招标/定标审批流程PDF归档并保存至采购寻源查询界面，支持按招标编号批量下载；比价单导出增加合计金额、付款方式、材质、货期、品牌等关键字段,优化,无,中,阶段二,1.0,5.0,4.0,5.0,1.0,16.0,,,,未开始,
18,招采平台,P4多维智能报表,P4-01,全体系报表重构升级,依托帆软工具重构：多维度综合报表（20个以内）、可视化看板（5个以内）；多层级穿透下钻分析；报表数据导出字段扩展、多维度筛选组合导出；台账一键导出；物料历史价格走势与行业价格对标分析报表,报表重构,帆软,中,阶段二,4.0,20.0,30.0,15.0,1.0,70.0,,,,未开始,
19,招采平台,P5 AI智能体,P5-01,供应商围串标审核智能体,基于集团统一AI底座：法人/授权人人员重合比对、关联股权识别、WPS编辑人员名称重合检测、上传电脑MAC地址/CPU系列号重合检测、文件内容雷同检测,AI智能体,天眼查,高,阶段二(AI预研),5.0,10.0,15.0,10.0,2.0,42.0,,,,未开始,
20,招采平台,P5 AI智能体,P5-02,资质条款自动核对智能体,基于AI底座自动核对供应商资质条件与招标文件条款匹配度,AI智能体,无,中,阶段二(AI预研),4.0,5.0,15.0,5.0,1.0,30.0,,,,未开始,
21,招采平台,P5 AI智能体,P5-03,异常报价智能识别智能体,自动识别异常报价模式，预警不合理报价行为,AI智能体,无,中,阶段二(AI预研),4.0,5.0,15.0,5.0,1.0,30.0,,,,未开始,
22,招采平台,P5 AI智能体,P5-04,供应商异常预警智能体,定标环节调取供应商异常预警，进行风险提示,AI智能体,无,中,阶段二(AI预研),3.0,5.0,15.0,5.0,1.0,29.0,,,,未开始,
23,,P5 AI智能体,P5-05,入网智能审核智能体,供应商入网环节AI自动审核，审核结果记录及确认,AI智能体,无,低,阶段二(AI预研),3.0,5.0,15.0,5.0,1.0,29.0,,,,未开始,
24,招采平台,P5 AI智能体,P5-06,辅助评标智能体,AI自动辅助测算商务报价分值并回填评标表单,AI智能体,无,中,阶段二(AI预研),4.0,10.0,25.0,10.0,1.0,50.0,,,,未开始,
25,招采平台,P5 AI智能体,P5-07,智能问数智能体,基于集团统一AI底座搭建，支持自然语言查询采购数据,AI智能体,无,低,阶段二(AI预研),5.0,10.0,60.0,8.0,2.0,85.0,,,,未开始,
26,招采平台,P6优化需求补充,P6-01,供应商审批查询优化,供应商入围审批查询、保证金审批查询界面增加供应商搜索字段,优化,无,低,阶段二,1.0,3.0,2.0,3.0,0.5,9.5,,,,未开始,
27,云采商城,M1商品管理,M1-01,商品目录分类管理,搭建商品目录分类、分二级集团管理架构；按分类设定可上架品类范围；按二级集团独立配置商品目录、品类规则、采购流程,新增,无,高,阶段二,3.0,10.0,12.0,10.0,1.0,36.0,,,,未开始,
28,云采商城,M1商品管理,M1-02,商品上架需求流程,用户提报未上架产品需求；系统自动汇总企业特殊采购需求并台账显示；已上架需求状态标记；商品需求归集寻源,新增,无,中,阶段二,2.0,10.0,20.0,10.0,1.0,43.0,,,,未开始,
29,云采商城,M1商品管理,M1-03,价格变动审批与异常预警,简化价格变动审批流程，触发审批条件前台配置；新增价格异常预警，触发审批条件前台配置,优化,无,中,阶段二,2.0,10.0,12.0,10.0,1.0,35.0,,,,未开始,
30,云采商城,M1商品管理,M1-04,SPU商品标准化聚合模型,搭建SPU商品标准化聚合模型（需业务部门初始化数据梳理）；优化商品上架流程，支撑同商品多规格同步上架；同商品多规格一站式选购,新增,无,中,阶段二,4.0,20.0,45.0,20.0,1.0,90.0,,,,未开始,
31,云采商城,M1商品管理,M1-05,同品类低价自动识别,新增同品类低价自动识别“全网最低”，实现低价优势品直接下单,新增,无,中,阶段二,2.0,5.0,6.0,5.0,1.0,19.0,,,,未开始,
32,云采商城,M1商品管理,M1-06,一键批量比价,归集同款不同规格、同款不同商家商品，实现一键批量比价,新增,无,中,阶段二,2.0,5.0,7.0,5.0,1.0,20.0,,,,未开始,
33,云采商城,M2搜索优化,M2-01,搜索权重算法与商品展示,优化搜索权重算法：精准匹配优先、关键词层级匹配规则；屏蔽无关商品干扰，提升小众物资/定制化商品搜索精准度；支持图片放大，补充规格/参数/库存显示,优化,无,高,阶段二,3.0,10.0,8.0,10.0,1.0,32.0,,,,未开始,
34,云采商城,M3订单管理,M3-01,发票与对账单导出优化,发票批量下载；对账单批量导出；未签收/已结算订单特殊标记；对账清单增加当月应付总金额,优化,无,中,阶段二,1.0,5.0,10.0,5.0,1.0,22.0,,,,未开始,
35,云采商城,M3订单管理,M3-02,订单界面功能增强,新增ERP订单编号检索；已发货/未发货订单及子订单筛选；每行物品明细展示；采购人筛选；订单打印；导出增加收货人信息；深化ERP接口集成，优化订单状态同步机制,优化,ERP,中,阶段二,3.0,10.0,10.0,10.0,1.0,34.0,,,,未开始,
36,云采商城,M3订单管理,M3-03,购物车采购计划字段,购物车增加采购计划字段，确保同物料不同计划不合并，实现购物车统一下单,优化,无,中,阶段二,2.0,10.0,4.0,10.0,1.0,27.0,,,,未开始,
37,云采商城,M4商城报表,M4-01,商城全体系报表重构,依托帆软工具完成全体系报表重构升级：新增业务报表（10个以内），优化报表导出功能，丰富筛选条件,报表重构,帆软,中,阶段二,3.0,15.0,25.0,15.0,1.0,59.0,,,,未开始,
,,,,,,,,,合计,107.0,359.0,524.0,324.0,38.5,1352.5,,,,,实施阶段对应项目计划：阶段一（第1-2月 需求调研）、阶段二（第2-10月 设计/开发/测试/上线）、阶段三（第11-12月 优化）；AI智能体按“适时启动技术预研与开发”标注。
,,,,,,,,,,,,,,,,,,,,优先级建议：高 = 基础性功能/合规重点优先实施；中 = 业务功能同步推进；低 = 后置或依赖前置条件。
,,,,,,,,,,,,,,,,,,,,状态枚举：未开始 / 进行中 / 已完成 / 暂停 / 阻塞。
,,,,,,,,,,,,,,,,,,,,枚举选项 — 子系统：招采平台/云采商城；模块：P1业务流程优化/P2供应商管理/P3系统基础功能/P4多维智能报表/P5 AI智能体/P6优化需求补充/M1商品管理/M2搜索优化/M3订单管理/M4商城报表；类型：新增/优化/AI智能体/报表重构；优先级：高/中/低；实施阶段：阶段二/阶段二(AI预研)；状态：未开始/进行中/已完成/暂停/阻塞。
